S_No,index,Time,Date,Date2,season,yr,mnth,day,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total,https://archive.ics.uci.edu/ml/datasets/bike+sharing+dataset
18,18,1/1/2011 17:00,1/1/2011,1,1,0,1,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,
19,19,1/1/2011 18:00,1/1/2011,1,1,0,1,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,
20,20,1/1/2011 19:00,1/1/2011,1,1,0,1,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,
21,21,1/1/2011 20:00,1/1/2011,1,1,0,1,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,
22,22,1/1/2011 21:00,1/1/2011,1,1,0,1,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,
23,23,1/1/2011 22:00,1/1/2011,1,1,0,1,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,
24,24,1/1/2011 23:00,1/1/2011,1,1,0,1,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,
25,25,2/1/2011 0:00,2/1/2011,2,1,0,1,2,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,
26,26,2/1/2011 1:00,2/1/2011,2,1,0,1,2,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,
27,27,2/1/2011 2:00,2/1/2011,2,1,0,1,2,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8,9,
28,28,2/1/2011 3:00,2/1/2011,2,1,0,1,2,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,
29,29,2/1/2011 4:00,2/1/2011,2,1,0,1,2,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,
30,,2/1/2011 5:00,,2,1,0,1,2,5,0,0,0,,,,,,,,,
31,30,2/1/2011 6:00,2/1/2011,2,1,0,1,2,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,
32,31,2/1/2011 7:00,2/1/2011,2,1,0,1,2,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,
33,32,2/1/2011 8:00,2/1/2011,2,1,0,1,2,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,
34,33,2/1/2011 9:00,2/1/2011,2,1,0,1,2,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,
35,34,2/1/2011 10:00,2/1/2011,2,1,0,1,2,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,
36,35,2/1/2011 11:00,2/1/2011,2,1,0,1,2,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,
37,36,2/1/2011 12:00,2/1/2011,2,1,0,1,2,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,
38,37,2/1/2011 13:00,2/1/2011,2,1,0,1,2,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,
39,38,2/1/2011 14:00,2/1/2011,2,1,0,1,2,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,
40,39,2/1/2011 15:00,2/1/2011,2,1,0,1,2,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,
41,40,2/1/2011 16:00,2/1/2011,2,1,0,1,2,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,
42,41,2/1/2011 17:00,2/1/2011,2,1,0,1,2,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,
43,42,2/1/2011 18:00,2/1/2011,2,1,0,1,2,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,
44,43,2/1/2011 19:00,2/1/2011,2,1,0,1,2,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,
45,44,2/1/2011 20:00,2/1/2011,2,1,0,1,2,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,
46,45,2/1/2011 21:00,2/1/2011,2,1,0,1,2,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,
47,46,2/1/2011 22:00,2/1/2011,2,1,0,1,2,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,
48,47,2/1/2011 23:00,2/1/2011,2,1,0,1,2,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,
49,48,3/1/2011 0:00,3/1/2011,3,1,0,1,3,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,
50,49,3/1/2011 1:00,3/1/2011,3,1,0,1,3,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,
51,,3/1/2011 2:00,,3,1,0,1,3,2,0,1,1,,,,,,,,,
52,,3/1/2011 3:00,,3,1,0,1,3,3,0,1,1,,,,,,,,,
53,50,3/1/2011 4:00,3/1/2011,3,1,0,1,3,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,
54,51,3/1/2011 5:00,3/1/2011,3,1,0,1,3,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,
55,52,3/1/2011 6:00,3/1/2011,3,1,0,1,3,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,
56,53,3/1/2011 7:00,3/1/2011,3,1,0,1,3,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,
57,54,3/1/2011 8:00,3/1/2011,3,1,0,1,3,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,
58,55,3/1/2011 9:00,3/1/2011,3,1,0,1,3,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,
59,56,3/1/2011 10:00,3/1/2011,3,1,0,1,3,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,
60,57,3/1/2011 11:00,3/1/2011,3,1,0,1,3,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,
61,58,3/1/2011 12:00,3/1/2011,3,1,0,1,3,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,
62,59,3/1/2011 13:00,3/1/2011,3,1,0,1,3,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,
63,60,3/1/2011 14:00,3/1/2011,3,1,0,1,3,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,
64,61,3/1/2011 15:00,3/1/2011,3,1,0,1,3,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,
65,62,3/1/2011 16:00,3/1/2011,3,1,0,1,3,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,
66,63,3/1/2011 17:00,3/1/2011,3,1,0,1,3,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,
67,64,3/1/2011 18:00,3/1/2011,3,1,0,1,3,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,
68,65,3/1/2011 19:00,3/1/2011,3,1,0,1,3,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110,
69,66,3/1/2011 20:00,3/1/2011,3,1,0,1,3,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,
70,67,3/1/2011 21:00,3/1/2011,3,1,0,1,3,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,
71,68,3/1/2011 22:00,3/1/2011,3,1,0,1,3,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,
72,69,3/1/2011 23:00,3/1/2011,3,1,0,1,3,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,
73,70,4/1/2011 0:00,4/1/2011,4,1,0,1,4,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,
74,71,4/1/2011 1:00,4/1/2011,4,1,0,1,4,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,
75,72,4/1/2011 2:00,4/1/2011,4,1,0,1,4,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,
76,,4/1/2011 3:00,,4,1,0,1,4,3,0,2,1,,,,,,,,,
77,73,4/1/2011 4:00,4/1/2011,4,1,0,1,4,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,
78,74,4/1/2011 5:00,4/1/2011,4,1,0,1,4,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,
79,75,4/1/2011 6:00,4/1/2011,4,1,0,1,4,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,
80,76,4/1/2011 7:00,4/1/2011,4,1,0,1,4,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,
81,77,4/1/2011 8:00,4/1/2011,4,1,0,1,4,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,
82,78,4/1/2011 9:00,4/1/2011,4,1,0,1,4,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,
83,79,4/1/2011 10:00,4/1/2011,4,1,0,1,4,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,
84,80,4/1/2011 11:00,4/1/2011,4,1,0,1,4,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,
85,81,4/1/2011 12:00,4/1/2011,4,1,0,1,4,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,
86,82,4/1/2011 13:00,4/1/2011,4,1,0,1,4,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,
87,83,4/1/2011 14:00,4/1/2011,4,1,0,1,4,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,
88,84,4/1/2011 15:00,4/1/2011,4,1,0,1,4,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,
89,85,4/1/2011 16:00,4/1/2011,4,1,0,1,4,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,
90,86,4/1/2011 17:00,4/1/2011,4,1,0,1,4,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,
91,87,4/1/2011 18:00,4/1/2011,4,1,0,1,4,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,
92,88,4/1/2011 19:00,4/1/2011,4,1,0,1,4,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,
93,89,4/1/2011 20:00,4/1/2011,4,1,0,1,4,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,
94,90,4/1/2011 21:00,4/1/2011,4,1,0,1,4,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48,
95,91,4/1/2011 22:00,4/1/2011,4,1,0,1,4,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,
96,92,4/1/2011 23:00,4/1/2011,4,1,0,1,4,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,
97,93,5/1/2011 0:00,5/1/2011,5,1,0,1,5,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6,
98,94,5/1/2011 1:00,5/1/2011,5,1,0,1,5,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,
99,95,5/1/2011 2:00,5/1/2011,5,1,0,1,5,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,
100,,5/1/2011 3:00,,5,1,0,1,5,3,0,3,1,,,,,,,,,
101,96,5/1/2011 4:00,5/1/2011,5,1,0,1,5,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,
102,97,5/1/2011 5:00,5/1/2011,5,1,0,1,5,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,
103,98,5/1/2011 6:00,5/1/2011,5,1,0,1,5,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,
104,99,5/1/2011 7:00,5/1/2011,5,1,0,1,5,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,
105,100,5/1/2011 8:00,5/1/2011,5,1,0,1,5,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,
106,101,5/1/2011 9:00,5/1/2011,5,1,0,1,5,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,
107,102,5/1/2011 10:00,5/1/2011,5,1,0,1,5,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,
108,103,5/1/2011 11:00,5/1/2011,5,1,0,1,5,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,
109,104,5/1/2011 12:00,5/1/2011,5,1,0,1,5,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,
110,105,5/1/2011 13:00,5/1/2011,5,1,0,1,5,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,
111,106,5/1/2011 14:00,5/1/2011,5,1,0,1,5,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,
112,107,5/1/2011 15:00,5/1/2011,5,1,0,1,5,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,
113,108,5/1/2011 16:00,5/1/2011,5,1,0,1,5,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,
114,109,5/1/2011 17:00,5/1/2011,5,1,0,1,5,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,
115,110,5/1/2011 18:00,5/1/2011,5,1,0,1,5,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,
116,111,5/1/2011 19:00,5/1/2011,5,1,0,1,5,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,
117,112,5/1/2011 20:00,5/1/2011,5,1,0,1,5,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,
118,113,5/1/2011 21:00,5/1/2011,5,1,0,1,5,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,
119,114,5/1/2011 22:00,5/1/2011,5,1,0,1,5,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,
120,115,5/1/2011 23:00,5/1/2011,5,1,0,1,5,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19,
121,116,6/1/2011 0:00,6/1/2011,6,1,0,1,6,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11,
122,117,6/1/2011 1:00,6/1/2011,6,1,0,1,6,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4,
123,118,6/1/2011 2:00,6/1/2011,6,1,0,1,6,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2,
124,,6/1/2011 3:00,,6,1,0,1,6,3,0,4,1,,,,,,,,,
125,119,6/1/2011 4:00,6/1/2011,6,1,0,1,6,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,
126,120,6/1/2011 5:00,6/1/2011,6,1,0,1,6,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,
127,121,6/1/2011 6:00,6/1/2011,6,1,0,1,6,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,
128,122,6/1/2011 7:00,6/1/2011,6,1,0,1,6,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95,
129,123,6/1/2011 8:00,6/1/2011,6,1,0,1,6,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219,
130,124,6/1/2011 9:00,6/1/2011,6,1,0,1,6,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122,
131,125,6/1/2011 10:00,6/1/2011,6,1,0,1,6,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45,
132,126,6/1/2011 11:00,6/1/2011,6,1,0,1,6,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,
133,127,6/1/2011 12:00,6/1/2011,6,1,0,1,6,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84,
134,128,6/1/2011 13:00,6/1/2011,6,1,0,1,6,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,
135,129,6/1/2011 14:00,6/1/2011,6,1,0,1,6,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,
136,130,6/1/2011 15:00,6/1/2011,6,1,0,1,6,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62,
137,131,6/1/2011 16:00,6/1/2011,6,1,0,1,6,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,
138,132,6/1/2011 17:00,6/1/2011,6,1,0,1,6,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,
139,133,6/1/2011 18:00,6/1/2011,6,1,0,1,6,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,
140,134,6/1/2011 19:00,6/1/2011,6,1,0,1,6,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,
141,135,6/1/2011 20:00,6/1/2011,6,1,0,1,6,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,
142,136,6/1/2011 21:00,6/1/2011,6,1,0,1,6,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,
143,137,6/1/2011 22:00,6/1/2011,6,1,0,1,6,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,
144,138,6/1/2011 23:00,6/1/2011,6,1,0,1,6,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,
145,139,7/1/2011 0:00,7/1/2011,7,1,0,1,7,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,
146,140,7/1/2011 1:00,7/1/2011,7,1,0,1,7,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,
147,141,7/1/2011 2:00,7/1/2011,7,1,0,1,7,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,
148,,7/1/2011 3:00,,7,1,0,1,7,3,0,5,1,,,,,,,,,
149,142,7/1/2011 4:00,7/1/2011,7,1,0,1,7,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,
150,143,7/1/2011 5:00,7/1/2011,7,1,0,1,7,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5,
151,144,7/1/2011 6:00,7/1/2011,7,1,0,1,7,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34,
152,145,7/1/2011 7:00,7/1/2011,7,1,0,1,7,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,
153,146,7/1/2011 8:00,7/1/2011,7,1,0,1,7,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,
154,147,7/1/2011 9:00,7/1/2011,7,1,0,1,7,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,
155,148,7/1/2011 10:00,7/1/2011,7,1,0,1,7,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,
156,149,7/1/2011 11:00,7/1/2011,7,1,0,1,7,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,
157,150,7/1/2011 12:00,7/1/2011,7,1,0,1,7,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,
158,151,7/1/2011 13:00,7/1/2011,7,1,0,1,7,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,
159,152,7/1/2011 14:00,7/1/2011,7,1,0,1,7,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,
160,153,7/1/2011 15:00,7/1/2011,7,1,0,1,7,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,
161,154,7/1/2011 16:00,7/1/2011,7,1,0,1,7,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,
162,155,7/1/2011 17:00,7/1/2011,7,1,0,1,7,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187,
163,156,7/1/2011 18:00,7/1/2011,7,1,0,1,7,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,
164,157,7/1/2011 19:00,7/1/2011,7,1,0,1,7,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,
165,158,7/1/2011 20:00,7/1/2011,7,1,0,1,7,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,
166,159,7/1/2011 21:00,7/1/2011,7,1,0,1,7,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,
167,160,7/1/2011 22:00,7/1/2011,7,1,0,1,7,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,
168,161,7/1/2011 23:00,7/1/2011,7,1,0,1,7,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,
169,162,8/1/2011 0:00,8/1/2011,8,1,0,1,8,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,
170,163,8/1/2011 1:00,8/1/2011,8,1,0,1,8,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,
171,164,8/1/2011 2:00,8/1/2011,8,1,0,1,8,2,0,6,0,2,0.18,0.2424,0.55,0,3,13,16,
172,165,8/1/2011 3:00,8/1/2011,8,1,0,1,8,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,
173,166,8/1/2011 4:00,8/1/2011,8,1,0,1,8,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,
174,167,8/1/2011 5:00,8/1/2011,8,1,0,1,8,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,
175,168,8/1/2011 6:00,8/1/2011,8,1,0,1,8,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,
176,169,8/1/2011 7:00,8/1/2011,8,1,0,1,8,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,
177,170,8/1/2011 8:00,8/1/2011,8,1,0,1,8,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,
178,171,8/1/2011 9:00,8/1/2011,8,1,0,1,8,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,
179,172,8/1/2011 10:00,8/1/2011,8,1,0,1,8,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,
180,173,8/1/2011 11:00,8/1/2011,8,1,0,1,8,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,
181,174,8/1/2011 12:00,8/1/2011,8,1,0,1,8,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,
182,175,8/1/2011 13:00,8/1/2011,8,1,0,1,8,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,
183,176,8/1/2011 14:00,8/1/2011,8,1,0,1,8,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,
184,177,8/1/2011 15:00,8/1/2011,8,1,0,1,8,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,
185,178,8/1/2011 16:00,8/1/2011,8,1,0,1,8,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,
186,179,8/1/2011 17:00,8/1/2011,8,1,0,1,8,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,
187,180,8/1/2011 18:00,8/1/2011,8,1,0,1,8,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,
188,181,8/1/2011 19:00,8/1/2011,8,1,0,1,8,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,
189,182,8/1/2011 20:00,8/1/2011,8,1,0,1,8,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,
190,183,8/1/2011 21:00,8/1/2011,8,1,0,1,8,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,
191,184,8/1/2011 22:00,8/1/2011,8,1,0,1,8,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,
192,185,8/1/2011 23:00,8/1/2011,8,1,0,1,8,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,
193,186,9/1/2011 0:00,9/1/2011,9,1,0,1,9,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,
194,187,9/1/2011 1:00,9/1/2011,9,1,0,1,9,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,
195,188,9/1/2011 2:00,9/1/2011,9,1,0,1,9,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,
196,189,9/1/2011 3:00,9/1/2011,9,1,0,1,9,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,
197,190,9/1/2011 4:00,9/1/2011,9,1,0,1,9,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,
198,191,9/1/2011 5:00,9/1/2011,9,1,0,1,9,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,
199,192,9/1/2011 6:00,9/1/2011,9,1,0,1,9,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,
200,193,9/1/2011 7:00,9/1/2011,9,1,0,1,9,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,
201,194,9/1/2011 8:00,9/1/2011,9,1,0,1,9,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,
202,195,9/1/2011 9:00,9/1/2011,9,1,0,1,9,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,
203,196,9/1/2011 10:00,9/1/2011,9,1,0,1,9,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,
204,197,9/1/2011 11:00,9/1/2011,9,1,0,1,9,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,
205,198,9/1/2011 12:00,9/1/2011,9,1,0,1,9,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,
206,199,9/1/2011 13:00,9/1/2011,9,1,0,1,9,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,
207,200,9/1/2011 14:00,9/1/2011,9,1,0,1,9,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,
208,201,9/1/2011 15:00,9/1/2011,9,1,0,1,9,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,
209,202,9/1/2011 16:00,9/1/2011,9,1,0,1,9,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,
210,203,9/1/2011 17:00,9/1/2011,9,1,0,1,9,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,
